StudentId,Gender,Major,Age,Country,Dates,Topic,Sentiment,Feedback,"Graduate Count=IF(C2=""Graduate"",COUNTIF($C$2:C2,""Graduate""),"""")",Undergraduate Count
10590418,Female,Undergraduate,22,Poland,4/1/2024,Tuition,Negative,Negative experience with tuition.    ,,19
10590419,Male,Undergraduate,18,Canada,5/3/2024,Job Search,Neutral,Neutral experience with job search.         ,,20
20590414,Female,Graduate,29,Portugal,5/6/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.    ,15,
10590420,Male,Undergraduate,20,Italy,6/4/2024,Weather,Negative,Negative experience with weather. ,,21
20590415,Female,Graduate,25,China,6/15/2024,Weather,Very Positive,Very Positive experience with weather.       ,16,
10590421,Male,Undergraduate,19,Germany,6/25/2024,Job Search,Neutral,Neutral experience with job search.  ,,22
10590422,Female,Undergraduate,21,Nigeria,6/29/2024,Tuition,Neutral,Neutral experience with tuition.   ,,23
20590416,Male,Graduate,24,Spain,7/12/2024,Academic Pressure,Positive,Positive experience with academic pressure.     ,17,
10590423,Female,Undergraduate,20,Peru,7/13/2024,Weather,Negative,Negative experience with weather.   ,,24
20590417,Male,Graduate,26,Germany,8/16/2024,Health Insurance,Positive,Positive experience with health insurance.  ,18,
10590424,Female,Undergraduate,22,Algeria,8/24/2024,Academic Pressure,Negative,Negative experience with academic pressure.        ,,25
10590425,Male,Undergraduate,18,Saudi Arabia,9/4/2024,Cultural Differences,Very Negative,Very Negative experience with cultural differences.  ,,26
20590418,Female,Graduate,27,Argentina,9/6/2024,Job Search,Neutral,Neutral experience with job search.   ,19,
10590426,Male,Undergraduate,20,Egypt,9/13/2024,Weather,Very Negative,Very Negative experience with weather.       ,,27
20590419,Female,Graduate,25,Russia,9/16/2024,Academic Pressure,Neutral,Neutral experience with academic pressure.        ,20,
10590427,Male,Undergraduate,19,Ukraine,9/21/2024,Cultural Differences,Negative,Negative experience with cultural differences.  ,,28
10590428,Female,Undergraduate,21,Canada,1/1/2024,Language Barrier,Negative,Negative experience with language barrier.        ,,29
20590420,Male,Graduate,24,Australia,1/2/2024,Housing,Positive,Positive experience with housing. ,21,
10590429,Female,Undergraduate,20,Turkey,2/1/2024,Academic Pressure,Neutral,Neutral experience with academic pressure.      ,,30
20590421,Male,Graduate,26,Egypt,2/9/2024,Tuition,Negative,Negative experience with tuition.  ,22,
10590430,Female,Undergraduate,22,South Korea,2/10/2024,Social Life,Positive,Positive experience with social life.       ,,31
10590431,Male,Undergraduate,18,Austria,2/22/2024,Housing,Very Negative,Very Negative experience with housing.  ,,32
20590422,Female,Graduate,29,Japan,3/5/2024,Housing,Very Positive,Very Positive experience with housing.    ,23,
10590432,Male,Undergraduate,20,Finland,3/13/2024,Tuition,Very Positive,Very Positive experience with tuition.   ,,33
20590423,Female,Graduate,25,Nepal,4/5/2024,Social Life,Very Negative,Very Negative experience with social life.   ,24,
10590433,Male,Undergraduate,19,Nigeria,4/10/2024,Job Search,Very Positive,Very Positive experience with job search.  ,,34
10590434,Female,Undergraduate,21,China,5/1/2024,Health Insurance,Neutral,Neutral experience with health insurance.       ,,35
20590424,Male,Graduate,24,Romania,5/30/2024,Social Life,Very Positive,Very Positive experience with social life.        ,25,
10590435,Female,Undergraduate,20,Italy,7/2/2024,Health Insurance,Positive,Positive experience with health insurance.       ,,36
20590425,Male,Graduate,26,Nepal,7/26/2024,Social Life,Negative,Negative experience with social life.        ,26,
10590436,Female,Undergraduate,22,Australia,7/29/2024,Social Life,Very Negative,Very Negative experience with social life.       ,,37
10590437,Male,Undergraduate,18,Poland,8/3/2024,Job Search,Positive,Positive experience with job search.  ,,38
20590426,Female,Graduate,29,Algeria,8/5/2024,Housing,Positive,Positive experience with housing.       ,27,
10590438,Male,Undergraduate,20,United Kingdom,8/15/2024,Job Search,Positive,Positive experience with job search.     ,,39
20590427,Female,Graduate,25,Brazil,9/14/2024,Visa Issues,Very Negative,Very Negative experience with visa issues.  ,28,
10590439,Male,Undergraduate,19,Portugal,10/3/2024,Language Barrier,Positive,Positive experience with language barrier.   ,,40
10590440,Female,Undergraduate,21,Nepal,10/9/2024,Weather,Negative,Negative experience with weather.       ,,41
20590428,Male,Graduate,24,Philippines,10/12/2024,Job Search,Positive,Positive experience with job search.   ,29,
10590441,Female,Undergraduate,20,India,11/2/2024,Housing,Positive,Positive experience with housing.     ,,42
20590429,Male,Graduate,26,Algeria,11/18/2024,Language Barrier,Positive,Positive experience with language barrier.    ,30,
10590442,Female,Undergraduate,22,Morocco,1/9/2024,Housing,Very Negative,Very Negative experience with housing.       ,,43
10590443,Male,Undergraduate,18,Iran,2/9/2024,Social Life,Neutral,Neutral experience with social life.      ,,44
20590430,Female,Graduate,27,Kenya,2/15/2024,Tuition,Positive,Positive experience with tuition.       ,31,
10590444,Male,Undergraduate,20,Italy,2/16/2024,Job Search,Neutral,Neutral experience with job search.  ,,45
20590431,Female,Graduate,25,Germany,2/29/2024,Social Life,Very Positive,Very Positive experience with social life.    ,32,
10590445,Male,Undergraduate,19,Malaysia,3/15/2024,Visa Issues,Negative,Negative experience with visa issues. ,,46
10590446,Female,Undergraduate,21,Brazil,3/18/2024,Housing,Very Negative,Very Negative experience with housing.    ,,47
20590432,Male,Graduate,24,Saudi Arabia,3/27/2024,Job Search,Very Negative,Very Negative experience with job search.       ,33,
10590447,Female,Undergraduate,20,Saudi Arabia,4/22/2024,Job Search,Positive,Positive experience with job search.        ,,48
20590433,Male,Graduate,26,Ukraine,6/12/2024,Tuition,Very Positive,Very Positive experience with tuition.     ,34,
10590448,Female,Undergraduate,22,Nepal,6/15/2024,Social Life,Positive,Positive experience with social life.  ,,49
10590449,Male,Undergraduate,18,Italy,7/9/2024,Housing,Positive,Positive experience with housing.   ,,50
20590434,Female,Graduate,29,Singapore,7/27/2024,Academic Pressure,Very Positive,Very Positive experience with academic pressure.       ,35,
10590450,Male,Undergraduate,20,Sri Lanka,8/3/2024,Tuition,Negative,Negative experience with tuition. ,,51
20590435,Female,Graduate,25,Italy,8/16/2024,Job Search,Negative,Negative experience with job search.  ,36,
10590451,Male,Undergraduate,19,Chile,8/26/2024,Cultural Differences,Positive,Positive experience with cultural differences.       ,,52
10590452,Female,Undergraduate,21,United States,9/17/2024,Weather,Neutral,Neutral experience with weather.        ,,53
20590436,Male,Graduate,24,Saudi Arabia,9/25/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.   ,37,
10590453,Female,Undergraduate,20,Ethiopia,9/26/2024,Weather,Neutral,Neutral experience with weather.    ,,54
20590437,Male,Graduate,26,Iran,10/1/2024,Visa Issues,Very Positive,Very Positive experience with visa issues.     ,38,
10590454,Female,Undergraduate,22,Morocco,10/10/2024,Visa Issues,Very Positive,Very Positive experience with visa issues.      ,,55
10590455,Male,Undergraduate,18,United Kingdom,1/5/2024,Housing,Negative,Negative experience with housing.     ,,56
20590438,Female,Graduate,27,Nigeria,2/10/2024,Cultural Differences,Positive,Positive experience with cultural differences.      ,39,
10590456,Male,Undergraduate,20,China,2/27/2024,Tuition,Positive,Positive experience with tuition.     ,,57
20590439,Female,Graduate,25,Portugal,3/1/2024,Visa Issues,Neutral,Neutral experience with visa issues.      ,40,
10590457,Male,Undergraduate,19,Kenya,3/6/2024,Language Barrier,Very Positive,Very Positive experience with language barrier.       ,,58
10590458,Female,Undergraduate,21,Saudi Arabia,3/26/2024,Job Search,Very Negative,Very Negative experience with job search.   ,,59
20590440,Male,Graduate,24,Singapore,4/9/2024,Job Search,Very Positive,Very Positive experience with job search.      ,41,
10590459,Female,Undergraduate,20,Turkey,4/20/2024,Cultural Differences,Negative,Negative experience with cultural differences.     ,,60
20590441,Male,Graduate,26,Finland,5/2/2024,Health Insurance,Negative,Negative experience with health insurance.       ,42,
10590460,Female,Undergraduate,22,Mexico,5/3/2024,Social Life,Very Negative,Very Negative experience with social life.   ,,61
10590461,Male,Undergraduate,18,Iran,5/7/2024,Language Barrier,Neutral,Neutral experience with language barrier.      ,,62
20590442,Female,Graduate,29,Poland,5/16/2024,Housing,Very Negative,Very Negative experience with housing.      ,43,
10590462,Male,Undergraduate,20,New Zealand,5/21/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.    ,,63
20590443,Female,Graduate,25,Canada,6/5/2024,Weather,Very Positive,Very Positive experience with weather.       ,44,
10590463,Male,Undergraduate,19,Canada,6/8/2024,Housing,Very Positive,Very Positive experience with housing.     ,,64
10590464,Female,Undergraduate,21,Belgium,6/25/2024,Tuition,Very Positive,Very Positive experience with tuition.        ,,65
20590444,Male,Graduate,24,Poland,8/13/2024,Cultural Differences,Positive,Positive experience with cultural differences.     ,45,
10590465,Female,Undergraduate,20,New Zealand,9/7/2024,Cultural Differences,Very Negative,Very Negative experience with cultural differences. ,,66
20590445,Male,Graduate,26,Turkey,9/17/2024,Tuition,Positive,Positive experience with tuition.  ,46,
10590466,Female,Undergraduate,22,Italy,11/7/2024,Weather,Neutral,Neutral experience with weather.      ,,67
10590467,Male,Undergraduate,18,United Kingdom,11/12/2024,Language Barrier,Very Positive,Very Positive experience with language barrier.       ,,68
20590446,Female,Graduate,27,India,1/8/2024,Visa Issues,Very Negative,Very Negative experience with visa issues.  ,47,
10590468,Male,Undergraduate,20,Bangladesh,2/7/2024,Language Barrier,Very Negative,Very Negative experience with language barrier.        ,,69
20590447,Female,Graduate,25,Argentina,2/10/2024,Social Life,Neutral,Neutral experience with social life.  ,48,
10590469,Male,Undergraduate,19,Ethiopia,2/14/2024,Social Life,Neutral,Neutral experience with social life.  ,,70
10590470,Female,Undergraduate,21,Malaysia,2/19/2024,Job Search,Neutral,Neutral experience with job search.        ,,71
20590448,Male,Graduate,24,China,2/24/2024,Language Barrier,Very Positive,Very Positive experience with language barrier.  ,49,
10590471,Female,Undergraduate,20,Philippines,3/14/2024,Social Life,Positive,Positive experience with social life.    ,,72
20590449,Male,Graduate,26,Singapore,5/16/2024,Tuition,Positive,Positive experience with tuition.   ,50,
10590472,Female,Undergraduate,22,United Arab Emirates,5/23/2024,Cultural Differences,Negative,Negative experience with cultural differences.     ,,73
10590473,Male,Undergraduate,18,United Kingdom,6/3/2024,Housing,Very Negative,Very Negative experience with housing.      ,,74
20590450,Female,Graduate,29,Bangladesh,6/13/2024,Visa Issues,Negative,Negative experience with visa issues.        ,51,
10590474,Male,Undergraduate,20,Algeria,6/21/2024,Tuition,Positive,Positive experience with tuition.      ,,75
20590451,Female,Graduate,25,Brazil,6/27/2024,Visa Issues,Very Positive,Very Positive experience with visa issues.     ,52,
10590475,Male,Undergraduate,19,Nepal,7/1/2024,Job Search,Very Positive,Very Positive experience with job search.  ,,76
10590476,Female,Undergraduate,21,Poland,8/9/2024,Housing,Neutral,Neutral experience with housing.       ,,77
20590452,Male,Graduate,24,Iran,9/10/2024,Visa Issues,Very Positive,Very Positive experience with visa issues.       ,53,
10590477,Female,Undergraduate,20,Nepal,1/1/2024,Housing,Very Negative,Very Negative experience with housing.  ,,78
20590453,Male,Graduate,26,Russia,2/13/2024,Language Barrier,Negative,Negative experience with language barrier.   ,54,
10590478,Female,Undergraduate,22,New Zealand,2/17/2024,Job Search,Positive,Positive experience with job search.    ,,79
10590479,Male,Undergraduate,18,Australia,2/22/2024,Social Life,Very Positive,Very Positive experience with social life.    ,,80
20590454,Female,Graduate,27,Singapore,3/16/2024,Visa Issues,Neutral,Neutral experience with visa issues.      ,55,
10590480,Male,Undergraduate,20,Netherlands,3/30/2024,Visa Issues,Neutral,Neutral experience with visa issues.       ,,81
20590455,Female,Graduate,25,Belgium,5/8/2024,Housing,Positive,Positive experience with housing.      ,56,
10590481,Male,Undergraduate,19,Nepal,5/9/2024,Social Life,Very Positive,Very Positive experience with social life.   ,,82
10590482,Female,Undergraduate,21,Argentina,6/12/2024,Job Search,Neutral,Neutral experience with job search.    ,,83
20590456,Male,Graduate,24,New Zealand,6/28/2024,Social Life,Neutral,Neutral experience with social life.        ,57,
10590483,Female,Undergraduate,20,Nigeria,7/1/2024,Job Search,Very Negative,Very Negative experience with job search.   ,,84
20590457,Male,Graduate,26,Philippines,7/13/2024,Housing,Negative,Negative experience with housing.    ,58,
10590484,Female,Undergraduate,22,Romania,7/15/2024,Housing,Negative,Negative experience with housing.        ,,85
10590485,Male,Undergraduate,18,Canada,7/23/2024,Academic Pressure,Negative,Negative experience with academic pressure.        ,,86
20590458,Female,Graduate,29,Ghana,7/26/2024,Housing,Positive,Positive experience with housing.       ,59,
10590486,Male,Undergraduate,20,Sweden,1/9/2024,Language Barrier,Positive,Positive experience with language barrier.   ,,87
20590459,Female,Graduate,25,Belgium,1/12/2024,Academic Pressure,Positive,Positive experience with academic pressure.      ,60,
10590487,Male,Undergraduate,19,Sweden,1/18/2024,Language Barrier,Neutral,Neutral experience with language barrier.      ,,88
10590488,Female,Undergraduate,21,Czech Republic,1/25/2024,Job Search,Very Negative,Very Negative experience with job search.      ,,89
20590460,Male,Graduate,24,Sri Lanka,2/2/2024,Health Insurance,Negative,Negative experience with health insurance.      ,61,
10590489,Female,Undergraduate,20,Finland,1/6/2024,Weather,Positive,Positive experience with weather.  ,,90
20590461,Male,Graduate,26,Romania,1/22/2024,Language Barrier,Very Positive,Very Positive experience with language barrier.   ,62,
10590490,Female,Undergraduate,22,Ukraine,2/9/2024,Social Life,Very Negative,Very Negative experience with social life.   ,,91
10590491,Male,Undergraduate,18,Singapore,4/18/2024,Housing,Neutral,Neutral experience with housing.    ,,92
20590462,Female,Graduate,27,United Kingdom,4/20/2024,Health Insurance,Very Positive,Very Positive experience with health insurance.        ,63,
20590463,Male,Graduate,26,Denmark,4/29/2024,Job Search,Neutral,Neutral experience with job search.       ,64,
10590492,Female,Undergraduate,20,Japan,5/2/2024,Job Search,Very Negative,Very Negative experience with job search.    ,,93
20590464,Male,Graduate,25,United Kingdom,6/11/2024,Job Search,Positive,Positive experience with job search.      ,65,
10590493,Female,Undergraduate,21,Morocco,6/12/2024,Visa Issues,Very Negative,Very Negative experience with visa issues.     ,,94
20590465,Male,Graduate,27,Japan,7/9/2024,Cultural Differences,Very Negative,Very Negative experience with cultural differences.        ,66,
10590494,Female,Undergraduate,19,India,7/12/2024,Language Barrier,Neutral,Neutral experience with language barrier.       ,,95
10590495,Male,Undergraduate,22,Canada,7/13/2024,Health Insurance,Positive,Positive experience with health insurance.     ,,96
20590466,Female,Graduate,24,Nigeria,7/17/2024,Cultural Differences,Very Negative,Very Negative experience with cultural differences.        ,67,
10590496,Male,Undergraduate,20,Australia,7/30/2024,Social Life,Very Positive,Very Positive experience with social life.      ,,97
20590467,Female,Graduate,26,China,8/2/2024,Housing,Neutral,Neutral experience with housing.      ,68,
10590497,Male,Undergraduate,21,Austria,8/19/2024,Language Barrier,Negative,Negative experience with language barrier.      ,,98
20590468,Female,Graduate,23,Algeria,8/22/2024,Academic Pressure,Negative,Negative experience with academic pressure.    ,69,
10590498,Male,Undergraduate,18,Japan,8/27/2024,Housing,Negative,Negative experience with housing.   ,,99
20590469,Female,Graduate,29,Mexico,9/2/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.      ,70,
10590499,Male,Undergraduate,20,Philippines,9/20/2024,Social Life,Very Negative,Very Negative experience with social life.    ,,100
20590470,Female,Graduate,25,Hungary,9/26/2024,Academic Pressure,Negative,Negative experience with academic pressure.        ,71,
10590500,Male,Undergraduate,19,Belgium,10/7/2024,Tuition,Negative,Negative experience with tuition.  ,,101
10590501,Female,Undergraduate,22,Australia,10/9/2024,Cultural Differences,Positive,Positive experience with cultural differences.  ,,102
20590471,Male,Graduate,28,Ethiopia,11/18/2024,Housing,Very Positive,Very Positive experience with housing.       ,72,
10590502,Female,Undergraduate,20,Brazil,12/25/2024,Social Life,Very Negative,Very Negative experience with social life.        ,,103
20590472,Male,Graduate,26,Ireland,2/20/2024,Cultural Differences,Negative,Negative experience with cultural differences.    ,73,
10590503,Female,Undergraduate,19,Chile,2/24/2024,Health Insurance,Negative,Negative experience with health insurance.  ,,104
10590504,Male,Undergraduate,21,Nepal,3/15/2024,Housing,Neutral,Neutral experience with housing.        ,,105
20590473,Female,Graduate,24,Thailand,3/18/2024,Housing,Neutral,Neutral experience with housing.     ,74,
10590505,Male,Undergraduate,18,Kenya,3/25/2024,Language Barrier,Very Negative,Very Negative experience with language barrier.     ,,106
20590474,Female,Graduate,27,Peru,3/26/2024,Tuition,Negative,Negative experience with tuition.       ,75,
10590506,Male,Undergraduate,20,Indonesia,4/11/2024,Weather,Very Negative,Very Negative experience with weather.    ,,107
10590507,Female,Undergraduate,21,Sri Lanka,4/24/2024,Academic Pressure,Negative,Negative experience with academic pressure.   ,,108
20590475,Male,Graduate,25,Sweden,5/8/2024,Academic Pressure,Very Negative,Very Negative experience with academic pressure.   ,76,
10590508,Female,Undergraduate,19,Ukraine,5/17/2024,Health Insurance,Very Positive,Very Positive experience with health insurance.        ,,109
20590476,Male,Graduate,28,South Korea,6/11/2024,Tuition,Very Negative,Very Negative experience with tuition.         ,77,
10590509,Female,Undergraduate,20,Russia,6/17/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.       ,,110
20590477,Male,Graduate,26,Pakistan,6/26/2024,Language Barrier,Negative,Negative experience with language barrier.  ,78,
10590510,Female,Undergraduate,22,Philippines,7/10/2024,Visa Issues,Positive,Positive experience with visa issues.     ,,111
10590511,Male,Undergraduate,18,Greece,8/10/2024,Weather,Very Positive,Very Positive experience with weather.      ,,112
20590478,Female,Graduate,29,Romania,8/29/2024,Social Life,Neutral,Neutral experience with social life.   ,79,
10590512,Male,Undergraduate,20,Czech Republic,9/5/2024,Housing,Very Negative,Very Negative experience with housing.      ,,113
20590479,Female,Graduate,25,Germany,9/12/2024,Job Search,Negative,Negative experience with job search.      ,80,
10590513,Male,Undergraduate,19,Pakistan,9/16/2024,Tuition,Positive,Positive experience with tuition.    ,,114
10590514,Female,Undergraduate,21,Norway,12/20/2024,Cultural Differences,Negative,Negative experience with cultural differences.   ,,115
20590480,Male,Graduate,24,New Zealand,9/28/2024,Social Life,Negative,Negative experience with social life.    ,81,
10590515,Female,Undergraduate,20,Belgium,10/1/2024,Social Life,Very Negative,Very Negative experience with social life.        ,,116
20590481,Male,Graduate,26,Morocco,10/5/2024,Job Search,Very Negative,Very Negative experience with job search.  ,82,
10590516,Female,Undergraduate,22,Norway,10/9/2024,Housing,Negative,Negative experience with housing.      ,,117
10590517,Male,Undergraduate,18,Russia,10/11/2024,Health Insurance,Very Positive,Very Positive experience with health insurance.        ,,118
20590482,Female,Graduate,27,United Arab Emirates,10/17/2024,Housing,Positive,Positive experience with housing.  ,83,
10590518,Male,Undergraduate,20,Switzerland,10/26/2024,Academic Pressure,Positive,Positive experience with academic pressure.        ,,119
20590483,Female,Graduate,25,Germany,11/15/2024,Language Barrier,Negative,Negative experience with language barrier.    ,84,
10590519,Male,Undergraduate,19,India,11/28/2024,Housing,Very Positive,Very Positive experience with housing.    ,,120
10590520,Female,Undergraduate,21,Nepal,12/7/2024,Job Search,Very Positive,Very Positive experience with job search.    ,,121
20590484,Male,Graduate,24,India,9/24/2024,Academic Pressure,Positive,Positive experience with academic pressure.  ,85,
10590521,Female,Undergraduate,20,Canada,10/17/2024,Language Barrier,Negative,Negative experience with language barrier.        ,,122
20590485,Male,Graduate,26,Finland,11/1/2024,Tuition,Very Negative,Very Negative experience with tuition.     ,86,
10590522,Female,Undergraduate,22,Spain,11/13/2024,Weather,Very Positive,Very Positive experience with weather. ,,123
10590523,Male,Undergraduate,18,Canada,11/19/2024,Housing,Negative,Negative experience with housing.      ,,124
20590486,Female,Graduate,29,Nepal,11/29/2024,Job Search,Very Negative,Very Negative experience with job search.   ,87,
10590524,Male,Undergraduate,20,Portugal,12/12/2024,Health Insurance,Very Positive,Very Positive experience with health insurance.   ,,125
20590487,Female,Graduate,25,Poland,12/24/2024,Social Life,Negative,Negative experience with social life.     ,88,
10590525,Male,Undergraduate,19,China,12/26/2024,Cultural Differences,Neutral,Neutral experience with cultural differences.    ,,126
10590526,Female,Undergraduate,21,Mexico,11/13/2024,Visa Issues,Positive,Positive experience with visa issues.        ,,127
20590488,Male,Graduate,24,Iran,11/28/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.    ,89,
10590527,Female,Undergraduate,20,Ireland,12/9/2024,Job Search,Very Positive,Very Positive experience with job search.       ,,128
20590489,Male,Graduate,26,Czech Republic,12/18/2024,Visa Issues,Negative,Negative experience with visa issues.      ,90,
10590528,Female,Undergraduate,22,Algeria,10/25/2024,Language Barrier,Positive,Positive experience with language barrier.      ,,129
10590529,Male,Undergraduate,18,United States,11/5/2024,Tuition,Very Positive,Very Positive experience with tuition.        ,,130
20590490,Female,Graduate,29,Hungary,12/2/2024,Housing,Very Positive,Very Positive experience with housing.  ,91,
10590530,Male,Undergraduate,20,Australia,12/10/2024,Academic Pressure,Negative,Negative experience with academic pressure.      ,,131
20590491,Female,Graduate,25,Sri Lanka,11/21/2024,Housing,Very Negative,Very Negative experience with housing.     ,92,
10590531,Male,Undergraduate,19,Switzerland,10/16/2024,Weather,Very Negative,Very Negative experience with weather. ,,132
10590532,Female,Undergraduate,21,Morocco,2/1/2024,Housing,Positive,Positive experience with housing.  ,,133
20590492,Male,Graduate,24,Turkey,2/9/2024,Social Life,Very Negative,Very Negative experience with social life.   ,93,
10590533,Female,Undergraduate,20,South Korea,3/15/2024,Academic Pressure,Neutral,Neutral experience with academic pressure.      ,,134
20590493,Male,Graduate,26,Morocco,3/22/2024,Language Barrier,Neutral,Neutral experience with language barrier.       ,94,
10590534,Female,Undergraduate,22,Portugal,4/2/2024,Cultural Differences,Neutral,Neutral experience with cultural differences.    ,,135
10590535,Male,Undergraduate,18,Brazil,4/27/2024,Social Life,Very Positive,Very Positive experience with social life.   ,,136
20590494,Female,Graduate,27,United Kingdom,5/1/2024,Health Insurance,Very Positive,Very Positive experience with health insurance.     ,95,
10590536,Male,Undergraduate,20,Chile,5/6/2024,Job Search,Positive,Positive experience with job search.       ,,137
20590495,Female,Graduate,25,Ireland,5/16/2024,Academic Pressure,Negative,Negative experience with academic pressure.  ,96,
10590537,Male,Undergraduate,19,Thailand,5/18/2024,Academic Pressure,Very Negative,Very Negative experience with academic pressure.     ,,138
10590538,Female,Undergraduate,21,Sri Lanka,5/21/2024,Language Barrier,Negative,Negative experience with language barrier.   ,,139
20590496,Male,Graduate,24,Italy,6/5/2024,Housing,Negative,Negative experience with housing.        ,97,
10590539,Female,Undergraduate,20,Sweden,6/13/2024,Cultural Differences,Very Negative,Very Negative experience with cultural differences.      ,,140
20590497,Male,Graduate,26,Sweden,7/26/2024,Weather,Very Positive,Very Positive experience with weather.  ,98,
10590540,Female,Undergraduate,22,Ukraine,8/7/2024,Social Life,Neutral,Neutral experience with social life.     ,,141
10590541,Male,Undergraduate,18,Vietnam,8/12/2024,Job Search,Positive,Positive experience with job search.      ,,142
20590498,Female,Graduate,29,Kenya,8/14/2024,Language Barrier,Positive,Positive experience with language barrier.      ,99,
10590542,Male,Undergraduate,20,Czech Republic,9/26/2024,Cultural Differences,Positive,Positive experience with cultural differences.     ,,143
20590499,Female,Graduate,25,Nigeria,10/10/2024,Social Life,Positive,Positive experience with social life.        ,100,
10590543,Male,Undergraduate,19,France,10/30/2024,Cultural Differences,Negative,Negative experience with cultural differences.        ,,144
10590544,Female,Undergraduate,21,South Korea,11/23/2024,Health Insurance,Positive,Positive experience with health insurance.      ,,145
20590500,Male,Graduate,24,Hungary,11/27/2024,Tuition,Positive,Positive experience with tuition.        ,101,
10590545,Female,Undergraduate,20,Canada,12/30/2024,Housing,Very Negative,Very Negative experience with housing.  ,,146
20590501,Male,Graduate,26,Argentina,1/3/2024,Academic Pressure,Very Positive,Very Positive experience with academic pressure.   ,102,
10590546,Female,Undergraduate,22,Brazil,1/8/2024,Housing,Positive,Positive experience with housing.   ,,147
10590547,Male,Undergraduate,18,Switzerland,1/11/2024,Health Insurance,Very Negative,Very Negative experience with health insurance.  ,,148
20590502,Female,Graduate,27,United Kingdom,1/22/2024,Weather,Positive,Positive experience with weather.     ,103,
10590548,Male,Undergraduate,20,Pakistan,2/6/2024,Job Search,Positive,Positive experience with job search.       ,,149
